#{"t_start": 1650950672.8170767, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
237,144,1977.913025
1573,770,1980.488978
1147,618,1982.604799
653,298,1983.805102
640,542,1985.495337
1315,738,1988.018727
1573,862,1990.998598
606,226,1991.894707
602,268,1992.738694
241,124,1993.204042
651,326,1994.207325
1038,667,1996.614516
1041,629,1998.694546
1422,784,2001.330948
1691,1070,2004.946665
604,252,2005.753579
247,112,2006.21235
1418,782,2008.892623
1054,512,2010.530901
243,120,2010.935237
1561,1026,2014.158408
603,388,2015.339193
605,254,2016.067244
236,138,2016.590412
1041,601,2018.522713
1695,838,2021.03652
244,116,2021.631078
1036,728,2024.142531
1071,478,2025.605079
1027,876,2028.203444
1847,978,2031.571034
248,108,2031.936343
1342,677,2033.892381
1041,604,2035.768833
246,110,2036.338879
606,372,2037.34848
625,298,2038.277166
1048,658,2040.206693
233,128,2040.633901
1320,649,2042.718114
1337,798,2045.553936
613,398,2046.905247
1401,1096,2051.019319
616,266,2051.877848
1154,678,2054.107078
2354,1293,2058.615391
636,356,2059.856929
249,108,2060.139246
1053,554,2062.059497
611,254,2062.950129
248,108,2063.380981
1334,739,2065.76808
608,346,2066.977298
246,108,2067.438493
1050,479,2068.986453
609,364,2070.317076
235,124,2070.78565
1331,602,2072.82122
635,286,2073.719455
606,308,2074.851252
723,596,2077.036246
779,530,2078.783399
652,300,2079.880936
615,274,2080.748202
640,558,2082.689404
1041,791,2085.428121
252,116,2085.727826
813,614,2087.972467
1135,824,2090.783523
1018,1057,2094.300751
1328,755,2096.962371
249,116,2097.266271
238,130,2097.784815
251,106,2098.222162
1049,488,2099.811515
1041,635,2101.908257
632,322,2103.073351
606,234,2103.919006
242,116,2104.375132
1145,488,2105.955402
1330,782,2108.634544
640,554,2110.645272
1050,470,2112.206728
234,126,2112.689553
245,110,2112.981881
1045,618,2115.070098
1337,663,2117.491245
246,114,2117.763686
1895,1352,2122.012016
1687,936,2125.138814
1058,453,2126.433334
629,306,2127.27233
748,518,2128.918651
1048,461,2130.538611
1313,785,2132.988421
1056,482,2134.591704
768,632,2136.630061
1051,586,2138.587888
1857,1010,2141.98591
1432,666,2144.265426
624,336,2145.439063
1055,512,2147.083503
1340,746,2149.645622
1426,712,2152.231972
1326,537,2153.962866
1680,1012,2157.34627
607,396,2158.612805
1063,590,2160.340775
252,106,2160.718754
653,280,2161.537142
653,294,2162.676959
653,294,2163.561997
623,252,2164.639511
1039,667,2166.57583
622,306,2167.663158
249,108,2167.927486
640,548,2169.757851
1315,757,2172.363215
235,124,2172.682079
249,108,2173.110069
607,280,2173.985645
248,118,2174.433451
651,328,2175.425667
1341,673,2177.827481
1056,498,2179.433676
1050,604,2181.448452
1317,715,2183.972085
1067,558,2185.955961
637,350,2187.022957
1043,599,2189.041335
1044,586,2191.139034
1427,610,2193.216793
609,240,2194.150401
1313,794,2196.943361
623,304,2197.893985
729,538,2199.774928
1047,506,2201.421404
1044,563,2203.357173
653,292,2204.498059
233,128,2204.849334
612,272,2205.85789
1048,648,2207.992234
252,106,2208.267498
252,106,2208.696149
735,556,2210.462937
619,344,2211.525079
1043,596,2213.608577
1048,887,2216.63648
1312,962,2220.050678
234,130,2220.403733
1036,873,2223.509649
1317,696,2226.005036
1425,850,2229.033354
763,500,2230.666049
613,238,2231.521766
618,362,2232.77251
253,116,2233.227615
252,106,2233.513791
247,110,2233.962886
238,126,2234.298987
1919,910,2237.559927
2639,1294,2242.161235
814,592,2243.969572
1046,684,2246.485772
1056,472,2247.932043
245,108,2248.308182
651,322,2249.210792
609,234,2250.161285
632,368,2251.498923
236,128,2252.079116
1043,579,2254.077845
799,570,2256.039898
619,252,2256.815531
620,320,2257.978513
610,276,2258.906316
639,294,2259.724896
237,134,2260.164866
1050,614,2262.011051
1038,652,2264.118057
615,342,2265.40835
232,136,2265.960417
764,584,2267.740163
606,234,2268.464567
1043,604,2270.754552
812,632,2273.175603
252,106,2273.581517
638,318,2274.597035
1564,1038,2278.019742
252,106,2278.415696
250,108,2279.183946
615,374,2280.437594
633,338,2281.603575
633,310,2282.894102
1152,638,2284.781478
639,572,2286.794848
1569,894,2289.5486
252,106,2289.906662
1051,572,2291.640919
1335,639,2293.77667
1061,679,2295.663136
1353,611,2297.700883
1910,1062,2301.134893
1341,645,2303.128861
252,106,2303.381385
1685,932,2306.292595
1048,483,2307.81373
1055,516,2309.571376
1336,763,2312.317105
817,534,2314.25891
1848,886,2317.27112
607,258,2318.080338
247,110,2318.597295
1421,842,2321.662306
1336,539,2323.307012
235,124,2323.619175
719,432,2325.406379
236,128,2325.705786
618,280,2326.655529
629,340,2327.607598
246,108,2328.0438
611,328,2329.057572
611,236,2329.885873
252,106,2330.171726
252,106,2330.739078
613,240,2331.496188
650,350,2332.666084
1049,498,2334.537418
1327,801,2337.864098
1333,839,2340.729396
249,108,2341.079693
1430,752,2343.364345
632,310,2344.358181
246,112,2344.723322
1330,683,2346.689334
1040,613,2348.738939
613,242,2349.527363
236,126,2349.83551
604,264,2350.788103
608,272,2351.50487
1330,711,2353.845776
615,272,2354.669079
639,562,2356.319999
653,292,2357.142385
1125,1042,2360.427368
619,342,2361.629045
746,576,2363.427814
