#{"t_start": 1644553171.7305636, "env_id": "SuperMarioBros-1-1-v0"}
r,l,t
614,270,1366.506537
602,260,1367.496051
636,306,1368.452833
245,116,1369.078302
1067,514,1370.680373
1321,851,1373.614141
1044,536,1375.283278
1693,774,1378.087965
251,112,1378.64723
1310,845,1381.737425
244,120,1382.179759
1567,836,1385.018435
1324,692,1387.394598
248,108,1387.815131
234,134,1388.159418
1920,992,1391.685642
607,366,1392.941626
1049,637,1395.177941
252,106,1395.577065
622,340,1396.844483
635,310,1397.873424
621,264,1398.940791
1332,587,1400.737047
641,528,1402.616078
621,334,1403.996008
1321,625,1406.043771
249,108,1406.360923
628,308,1407.786871
733,428,1409.144843
1050,474,1410.985094
1417,824,1413.759144
629,312,1414.822217
239,118,1415.259048
618,286,1416.128273
1053,554,1418.118657
629,324,1419.510292
246,122,1419.838415
1322,806,1422.557363
250,118,1423.120609
1336,735,1425.662652
247,116,1425.970225
1044,569,1427.930177
253,116,1428.369004
1333,657,1430.481785
603,396,1431.980412
725,554,1433.839485
251,112,1434.136691
626,292,1435.274232
1045,549,1437.125661
1343,651,1439.524817
250,110,1439.828615
1410,966,1443.169094
1693,894,1446.516731
1345,658,1449.36466
616,400,1450.880542
638,316,1451.864415
635,292,1452.951861
816,556,1455.035898
608,388,1456.543631
251,118,1456.86593
248,114,1457.485466
246,116,1457.801619
612,298,1458.911003
1043,562,1461.089526
1428,756,1463.529913
1335,681,1466.10471
633,322,1467.405518
1428,710,1469.834802
1435,588,1471.877913
229,134,1472.616184
617,390,1473.940811
233,142,1474.375648
608,280,1475.600395
619,368,1477.17274
621,286,1478.039034
232,128,1478.500803
638,332,1479.524047
1319,641,1481.86463
615,446,1483.390668
620,326,1484.371451
236,140,1484.869413
1044,533,1486.841307
1328,667,1489.023394
2346,1375,1494.212453
1729,698,1496.798458
250,128,1497.139986
1049,489,1498.791008
1416,930,1502.081131
252,106,1502.514155
249,114,1502.851254
1917,954,1506.374714
234,128,1506.864583
1055,508,1508.650377
1334,539,1510.49715
628,374,1512.007094
252,106,1512.42115
616,286,1513.352419
1046,524,1515.182506
1033,750,1517.693698
245,108,1518.180036
251,112,1518.479772
1044,559,1520.485939
1046,529,1522.300536
610,264,1523.14993
627,260,1524.158854
249,108,1524.476006
636,328,1525.859577
1315,905,1528.976182
1569,926,1532.23094
634,300,1533.310514
609,332,1534.515132
654,272,1535.473818
735,342,1536.687082
1431,780,1539.643842
238,128,1540.129543
238,128,1540.675038
1041,627,1542.809433
1153,622,1545.244283
1340,727,1547.927069
238,134,1548.444874
810,660,1550.795052
601,386,1552.262484
236,134,1552.747188
1030,827,1555.515872
247,112,1556.083354
1350,671,1558.264743
815,570,1560.275231
611,240,1561.335835
636,356,1562.570745
1567,958,1565.992124
1343,678,1568.397804
627,288,1569.267162
650,348,1570.456758
738,460,1572.111031
1041,619,1574.126046
623,322,1575.345305
1343,731,1578.089015
621,338,1579.127552
608,236,1580.204062
252,106,1580.523208
611,266,1581.680657
1863,1084,1585.471451
1339,765,1588.069689
617,350,1589.330208
624,296,1590.372161
638,292,1591.292657
775,592,1593.309792
1323,701,1596.009728
610,232,1596.846002
1847,888,1599.933396
248,114,1600.235587
1694,752,1602.77098
636,276,1603.69328
1044,619,1605.916344
1145,642,1608.283205
634,350,1609.342878
621,380,1610.727412
628,298,1611.953874
234,128,1612.438646
609,334,1613.612546
1048,510,1615.39185
1161,414,1616.942054
252,106,1617.292116
252,106,1617.872576
252,116,1618.243939
250,106,1618.657947
252,106,1618.951162
246,108,1619.368048
1059,771,1622.393772
1425,684,1624.597291
1050,619,1626.827852
249,108,1627.242421
739,478,1628.743429
653,290,1629.826243
619,294,1630.856536
1575,788,1633.554302
1344,642,1635.763026
610,254,1636.740415
637,314,1637.72815
654,278,1638.897583
249,118,1639.259614
247,108,1640.001861
641,528,1641.728985
1145,594,1643.874272
249,116,1644.329056
1584,626,1646.636844
1433,732,1649.317094
242,122,1649.652781
245,110,1650.084044
252,106,1650.523868
1030,862,1653.617573
237,142,1654.135189
637,272,1655.045173
628,334,1656.364053
1332,710,1658.677374
1053,548,1660.762737
1044,593,1662.776007
637,364,1664.10936
654,274,1664.971058
620,370,1666.214437
635,326,1667.455521
1322,738,1669.890328
612,256,1670.890659
1337,796,1673.732004
634,296,1674.708861
627,376,1675.946243
1325,532,1677.860973
816,558,1679.579848
607,362,1680.993314
1316,1261,1685.89436
1312,801,1688.760264
252,106,1689.0455
1031,827,1691.830147
635,272,1692.925144
639,284,1693.778374
249,106,1694.209728
616,246,1694.996405
624,298,1696.035468
813,600,1698.192973
